PublishedAt,Title,description
2017-05-21T14:18:00Z,Kushner keeps most of his real estate but offers few clues about potential White House conflicts,"The president’s son-in-law and top adviser retained 90 percent of those holdings, a Post analysis shows."
2017-05-21T16:25:00Z,McMaster does not deny details of Trump’s discussion with Russian officials,The national security adviser said Trump was only trying to find common ground with the Russians.
2017-05-21T13:55:00Z,"A millionaire, a hotel maid and an arrest after the inauguration for sex abuse",CEO John Boswell pleaded guilty to misdemeanor sexual abuse after a groping incident at the Mayflower Hotel.
2017-05-21T11:00:00Z,"Thunderous applause, tears as the ‘greatest show on Earth’ takes a final bow","The Ringling Bros. circus, buffeted by changing times and mores, shutters after 146 years."
2017-05-21T11:07:00Z,Georgetown professor confronts white nationalist Richard Spencer at the gym — which terminates his membership,The encounter happened Wednesday at Old Town Sport&Health in Alexandria.
2017-05-21T10:39:00Z,Sanders stumps for Democrat in tight Montana race,Senator raises stakes by calling for defeat of “candidate of the millionaires.”
2017-05-21T16:13:00Z,Gingrich spreads conspiracy theory about slain DNC staffer,"There is no evidence that Seth Rich had contacted WikiLeaks, despite the former House speaker's claims."
2017-05-22T01:58:52+00:00,Trump urges Muslim leaders to lead fight against radicalisation,The US president uses major speech to urge Muslim states to take the lead against radicalisation.
2017-05-21T15:29:41+00:00,General election 2017: Tories 'won't look again' at social care plans,"Work and Pensions Secretary Damian Green says £100,000 is ""a reasonable inheritance to have""."
2017-05-21T21:30:34+00:00,Election 2017: Scottish leaders clash in heated TV debate,Nicola Sturgeon and Ruth Davidson trade blows on independence and immigration in a BBC TV debate.
2017-05-21T21:53:20+00:00,General election 2017: Labour brings forward tuition fees pledge,Labour says students starting university in England this autumn would not pay fees.
2017-05-21T21:32:24+00:00,Mike Pence university address hit by student walk-out,Dozens of students staged a walk-out when the US vice-president addressed a ceremony in Indiana.
2017-05-22T01:20:10+00:00,"'Car boot-sale' diamond set to fetch £350,000 at auction","The owner thought the £10 ring with and ""exceptionally sized"" stone was a costume jewel."
2017-05-21T21:44:32+00:00,Brazil police raid Sao Paulo 'Crackland' and make arrests,Some 500 officers took part in the operation in an area where crack cocaine has been consumed freely.
2017-05-22T00:12:00+00:00,Ex-RBS boss Fred Goodwin to face investors in court,Former top bankers at RBS will appear in court for the first time since the bank's near collapse.
2017-05-22T01:06:40+00:00,Syria conflict: Government regains full control of Homs,Government officials say rebels have left the last district they controlled in the central city.
2017-05-21T23:26:11+00:00,Ringling Brothers circus stages final show,"After 146 years, the Ringling Bros and Barnum & Bailey Circus holds its final show in New York."
2017-05-21T23:34:01Z,Families of Lindt Cafe victims hit out at police handling of deadly siege,The families of Tori Johnson and Katrina Dawson speak about their experience on the day and their anger and frustration in the aftermath of the Sydney siege.
2017-05-22T01:34:03Z,Ashby denies plan to cash in on One Nation election materials,"Pauline Hanson's chief of staff James Ashby denies One Nation has been profiteering, after a recording is leaked of him discussing a plan to sell campaign material to the party's candidates for inflated prices."
2017-05-22T01:27:52Z,Forrest gives 'biggest single philanthropic gift' by living donor in Australian history,Mining magnate Andrew Twiggy Forrest and his wife Nicola are donating $400 million to be used for a number of causes.
2017-05-21T21:19:59Z,What China's economic troubles mean for Australia,Any hiccups from China will rattle our economy — and the past week has seen some concerning signals emanating from Beijing that all may not be well.
2017-05-22T00:18:34Z,What's actually going on in this picture of Trump touching a glowing orb?,"US President Donald Trump and Muslim leaders are seen gathering around an ominous glowing orb in a scene that's been compared to a scene from Lord of the Rings. But no, this isn't the Eye of Sauron."
2017-05-21T22:00:25Z,Live: Dutton says refugee lawyers can 'rant all they want',"Immigration Minister Peter Dutton defends a decision to deport up to 7,500 asylum seekers if they do not apply for protection visas by October. Follow live."
2017-05-22T00:36:52Z,Which glass can and can't be recycled?,Which glass items should we leave out of the recycle bin?
2017-05-22T01:49:19Z,"Nine people injured in Manus Island shooting, Immigration reveals",Senate estimates hears that a number of weapons were fired in the Good Friday Manus Island Shooting.
2017-05-22T01:21:09Z,'Huge mess' at Royal Park in Melbourne after tram collides with truck,Fourteen people are taken to hospital after a truck collided with a tram at Parkville in Melbourne's inner-north.
